순위,영화명,개봉일,좌석수,좌석점유율,관객수,좌석판매율,매출액,누적매출액,누적관객수
1,어벤져스: 인피니티 워,2018-04-25,"41,063,796",0.06 ,"11,211,835",27.30%,"99,918,689,769","99,918,689,769","11,211,835"
2,신과함께-인과 연,2018-08-01,"27,929,166",0.04 ,"11,952,034",42.70%,"100,070,909,709","100,070,909,709","11,952,034"
3,앤트맨과 와스프,2018-07-04,"27,193,212",0.04 ,"5,447,731",20.00%,"47,464,742,685","47,464,742,685","5,447,731"
4,쥬라기 월드: 폴른 킹덤,2018-06-06,"25,858,004",0.04 ,"5,661,128",21.80%,"49,770,711,037","49,770,711,037","5,661,128"
5,독전,2018-05-22,"23,071,738",0.03 ,"5,063,620",21.90%,"43,484,892,913","43,484,892,913","5,063,620"
6,블랙 팬서,2018-02-14,"22,082,712",0.03 ,"5,398,994",24.40%,"45,883,143,457","45,883,143,457","5,398,994"
7,신과함께-죄와 벌,2017-12-20,"20,463,225",0.03 ,"5,871,432",28.60%,"47,349,113,705","115,706,188,137","14,411,525"
8,데드풀 2,2018-05-16,"20,082,534",0.03 ,"3,784,602",18.80%,"34,185,664,639","34,185,664,639","3,784,602"
9,1987,2017-12-27,"18,303,287",0.03 ,"5,289,693",28.90%,"42,912,306,108","58,166,910,145","7,231,830"
9,탐정: 리턴즈,2018-06-13,"18,026,970",0.03 ,"3,152,872",17.40%,"26,909,481,678","26,909,481,678","3,152,872"
11,미션 임파서블: 폴아웃,2018-07-25,"16,012,073",0.02 ,"6,542,665",40.80%,"55,535,597,262","55,535,597,262","6,542,665"
11,그것만이 내 세상,2018-01-17,"16,169,193",0.02 ,"3,417,666",21.10%,"27,441,425,382","27,446,297,382","3,418,392"
11,지금 만나러 갑니다,2018-03-14,"15,886,540",0.02 ,"2,602,273",16.30%,"20,800,916,128","20,800,916,128","2,602,273"
14,곤지암,2018-03-28,"14,680,510",0.02 ,"2,675,559",18.20%,"21,442,114,144","21,442,114,144","2,675,559"
15,공작,2018-08-08,"14,187,520",0.02 ,"4,734,652",33.30%,"40,883,602,776","40,883,602,776","4,734,652"
15,마녀,2018-06-27,"13,777,492",0.02 ,"3,189,092",23.10%,"27,242,041,463","27,242,041,463","3,189,092"
15,레디 플레이어 원,2018-03-28,"14,202,723",0.02 ,"2,254,430",15.80%,"19,933,108,071","19,933,108,071","2,254,430"
18,코코,2018-01-11,"13,209,902",0.02 ,"3,510,040",26.50%,"27,685,609,440","27,723,419,440","3,513,137"
19,조선명탐정: 흡혈괴마의 비밀,2018-02-08,"12,837,396",0.02 ,"2,444,132",19.00%,"19,822,774,764","19,822,774,764","2,444,132"
20,인크레더블 2,2018-07-18,"11,311,142",0.02 ,"3,030,373",26.70%,"24,534,203,088","24,534,203,088","3,030,373"
20,램페이지,2018-04-12,"11,059,001",0.02 ,"1,385,511",12.50%,"11,951,980,109","11,951,980,109","1,385,511"
22,메이즈 러너: 데스 큐어,2018-01-17,"10,685,462",0.02 ,"2,299,751",21.50%,"18,902,975,104","18,902,975,104","2,299,751"
22,리틀 포레스트,2018-02-28,"10,764,802",0.02 ,"1,505,560",13.90%,"11,924,818,185","11,924,818,185","1,505,560"
24,사라진 밤,2018-03-07,"9,555,419",0.01 ,"1,315,726",13.70%,"10,697,981,316","10,697,981,316","1,315,726"
25,목격자,2018-08-15,"8,842,202",0.01 ,"2,284,053",25.80%,"19,782,742,060","19,782,742,060","2,284,053"
25,궁합,2018-02-28,"9,007,590",0.01 ,"1,340,117",14.80%,"10,478,875,438","10,478,875,438","1,340,117"
25,바람 바람 바람,2018-04-05,"9,387,509",0.01 ,"1,194,229",12.70%,"9,784,385,375","9,784,385,375","1,194,229"
25,퍼시픽 림: 업라이징,2018-03-21,"8,984,504",0.01 ,"1,077,235",11.90%,"8,962,712,795","8,962,712,795","1,077,235"
29,오션스8,2018-06-13,"8,425,692",0.01 ,"1,335,829",15.80%,"11,700,157,266","11,700,157,266","1,335,829"
29,염력,2018-01-31,"8,589,156",0.01 ,"990,111",11.50%,"7,484,684,112","7,484,684,112","990,111"
31,맘마미아!2,2018-08-08,"6,178,885",0.01 ,"2,013,434",32.50%,"17,314,055,885","17,314,055,885","2,013,434"
31,골든슬럼버,2018-02-14,"6,407,422",0.01 ,"1,387,508",21.60%,"11,412,768,798","11,412,768,798","1,387,508"
31,챔피언,2018-05-01,"6,244,963",0.01 ,"1,128,774",18.00%,"9,471,138,230","9,471,138,230","1,128,774"
31,스카이스크래퍼,2018-07-11,"6,261,517",0.01 ,"1,002,858",16.00%,"8,612,111,718","8,612,111,718","1,002,858"
31,레슬러,2018-05-09,"6,364,993",0.01 ,"771,141",12.10%,"6,481,379,657","6,481,379,657","771,141"
36,쥬만지: 새로운 세계,2018-01-03,"5,952,070",0.01 ,"1,708,692",28.70%,"13,814,936,864","13,836,031,864","1,711,266"
36,툼레이더,2018-03-08,"5,741,688",0.01 ,"540,410",9.40%,"4,500,905,762","4,500,905,762","540,410"
38,콰이어트 플레이스,2018-04-12,"4,906,067",0.01 ,"526,073",10.70%,"4,580,889,849","4,580,889,849","526,073"
39,너의 결혼식,2018-08-22,"4,607,474",0.01 ,"1,112,161",24.10%,"9,588,718,100","9,588,718,100","1,112,161"
40,인랑,2018-07-25,"3,757,628",0.01 ,"897,494",23.80%,"6,994,475,173","6,994,475,173","897,494"
40,인시디어스4: 라스트 키,2018-01-31,"3,494,515",0.01 ,"554,528",15.80%,"4,301,346,864","4,301,346,864","554,528"
40,버닝,2018-05-17,"3,558,678",0.01 ,"528,153",14.80%,"4,714,345,098","4,714,345,098","528,153"
40,7년의 밤,2018-03-28,"4,055,745",0.01 ,"528,007",13.00%,"3,969,337,524","3,969,337,524","528,007"
40,변산,2018-07-04,"3,588,101",0.01 ,"490,033",13.60%,"4,014,072,273","4,014,072,273","490,033"
45,셰이프 오브 워터: 사랑의 모양,2018-02-22,"2,905,278",0.00 ,"506,487",17.40%,"4,212,093,600","4,212,093,600","506,487"
45,허스토리,2018-06-27,"2,755,080",0.00 ,"333,334",12.00%,"2,500,279,949","2,500,279,949","333,334"
47,몬스터 호텔 3,2018-08-08,"2,483,318",0.00 ,"1,028,627",41.40%,"7,606,399,100","7,606,399,100","1,028,627"
47,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,"2,040,334",0.00 ,"677,529",33.20%,"4,997,440,100","4,997,440,100","677,529"
47,위대한 쇼맨,2017-12-20,"2,111,592",0.00 ,"588,229",27.80%,"4,854,890,300","11,511,929,500","1,402,816"
47,메가로돈,2018-08-15,"2,167,266",0.00 ,"523,553",24.10%,"4,483,702,097","4,483,702,097","523,553"
47,흥부: 글로 세상을 바꾼 자,2018-02-14,"2,409,421",0.00 ,"416,303",17.20%,"3,381,050,200","3,381,050,200","416,303"
47,덕구,2018-04-05,"2,353,653",0.00 ,"313,883",13.30%,"2,378,021,700","2,378,021,700","313,883"
47,트루스 오어 데어,2018-05-22,"2,215,855",0.00 ,"310,956",14.00%,"2,647,330,400","2,647,330,400","310,956"
47,커뮤터,2018-01-24,"2,478,554",0.00 ,"286,044",11.50%,"2,286,602,955","2,286,702,955","286,064"
47,치즈인더트랩,2018-03-14,"2,566,877",0.00 ,"229,005",8.90%,"1,890,873,700","1,890,873,700","229,005"
47,허리케인 하이스트,2018-03-14,"2,262,008",0.00 ,"214,949",9.50%,"1,730,262,848","1,730,262,848","214,949"
47,한 솔로: 스타워즈 스토리,2018-05-24,"2,326,508",0.00 ,"213,980",9.10%,"1,964,276,778","1,964,276,778","213,980"
47,나를 기억해,2018-04-19,"2,313,396",0.00 ,"140,975",6.00%,"1,229,213,892","1,229,698,892","141,072"
59,극장판 헬로카봇 : 백악기 시대,2018-08-01,"2,003,083",0.00 ,"867,785",43.30%,"6,506,934,100","6,506,934,100","867,785"
59,페르디난드,2018-01-03,"1,725,197",0.00 ,"533,790",30.90%,"3,854,292,500","3,866,542,500","535,448"
59,강철비,2017-12-14,"1,674,059",0.00 ,"438,462",26.10%,"3,494,768,900","35,489,666,466","4,452,755"
59,피터 래빗,2018-05-16,"1,548,376",0.00 ,"388,300",25.00%,"3,006,258,100","3,006,258,100","388,300"
59,아이 필 프리티,2018-06-06,"1,569,668",0.00 ,"240,297",15.30%,"2,127,094,300","2,127,094,300","240,297"
59,시카리오: 데이 오브 솔다도,2018-06-27,"1,702,180",0.00 ,"229,482",13.40%,"1,938,159,400","1,938,159,400","229,482"
59,1급기밀,2018-01-24,"1,460,946",0.00 ,"217,816",14.90%,"1,720,160,300","1,728,722,300","218,808"
59,50가지 그림자: 해방,2018-02-21,"1,467,462",0.00 ,"217,785",14.80%,"1,866,384,500","1,866,384,500","217,785"
67,명탐정 코난 : 제로의 집행인,2018-08-08,"1,089,916",0.00 ,"394,229",36.10%,"2,996,848,561","2,996,848,561","394,229"
67,명탐정 코난:감벽의 관,2018-02-14,"1,052,989",0.00 ,"242,164",22.90%,"1,800,316,000","1,803,389,439","242,603"
67,속닥속닥,2018-07-13,"1,100,809",0.00 ,"217,444",19.70%,"1,900,914,300","1,900,914,300","217,444"
67,나를 차버린 스파이,2018-08-22,"1,307,486",0.00 ,"190,103",14.50%,"1,694,510,500","1,694,510,500","190,103"
67,유전,2018-06-07,"1,173,938",0.00 ,"177,145",15.00%,"1,560,899,725","1,560,899,725","177,145"
67,다운사이징,2018-01-11,"1,103,582",0.00 ,"150,221",13.60%,"1,236,618,004","1,237,610,004","150,345"
67,독전: 익스텐디드 컷,2018-07-18,"744,576",0.00 ,"137,761",18.50%,"844,644,600","844,644,600","137,761"
67,레드 스패로,2018-02-28,"863,281",0.00 ,"108,344",12.50%,"860,743,700","860,743,700","108,344"
67,레이디 버드,2018-04-04,"987,095",0.00 ,"101,781",10.30%,"828,329,700","828,329,700","101,781"
67,여중생A,2018-06-20,"1,353,272",0.00 ,"97,850",7.20%,"811,692,000","811,692,000","97,850"
67,호텔 아르테미스,2018-07-18,"971,566",0.00 ,"77,794",8.00%,"646,127,100","646,127,100","77,794"
67,마일22,2018-08-23,"685,063",0.00 ,"59,286",8.60%,"520,408,200","520,408,200","59,286"
67,머니백,2018-04-12,"861,035",0.00 ,"53,610",6.20%,"417,495,600","417,495,600","53,610"
67,데자뷰,2018-05-30,"1,044,783",0.00 ,"48,279",4.60%,"360,833,100","360,833,100","48,279"
81,극장판 도라에몽: 진구의 보물섬,2018-08-15,"619,606",0.00 ,"176,967",28.50%,"1,331,698,200","1,331,698,200","176,967"
81,빅샤크: 매직체인지,2018-06-27,"556,134",0.00 ,"138,370",24.80%,"1,010,607,700","1,010,607,700","138,370"
81,게이트,2018-02-28,"678,876",0.00 ,"101,173",14.90%,"820,756,100","821,271,100","101,381"
81,미니특공대X,2018-03-22,"632,556",0.00 ,"99,952",15.80%,"744,858,200","745,801,200","100,087"
81,쓰리 빌보드,2018-03-15,"568,203",0.00 ,"97,480",17.10%,"800,125,700","800,125,700","97,480"
81,극장판 포켓몬스터 너로 정했다!,2017-12-21,"292,696",0.00 ,"94,300",32.20%,"696,785,800","3,814,315,500","509,555"
81,번개맨과 신비의 섬,2018-04-05,"328,279",0.00 ,"59,923",18.20%,"481,474,700","486,548,700","60,561"
81,몬스터 패밀리,2017-12-21,"177,884",0.00 ,"56,019",31.40%,"410,001,000","2,941,183,700","397,633"
81,뽀로로 극장판 공룡섬 대모험,2017-12-07,"183,853",0.00 ,"53,278",28.90%,"377,848,700","6,226,832,300","827,040"
81,젝스키스 에이틴,2018-01-18,"125,887",0.00 ,"50,419",40.00%,"364,405,500","364,405,500","50,419"
81,온리 더 브레이브,2018-03-07,"603,591",0.00 ,"49,612",8.20%,"390,912,300","390,912,300","49,612"
81,비밥바룰라,2018-01-24,"490,549",0.00 ,"46,819",9.50%,"318,997,200","322,062,200","47,432"
81,더 포리너,2018-02-07,"446,187",0.00 ,"41,054",9.20%,"330,263,800","330,263,800","41,054"
81,스파키,2018-04-12,"221,363",0.00 ,"35,436",16.00%,"257,040,200","257,040,200","35,436"
81,극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,"281,535",0.00 ,"34,466",12.20%,"254,692,500","254,692,500","34,466"
81,개들의 섬,2018-06-21,"299,844",0.00 ,"33,229",11.00%,"288,664,100","288,664,100","33,229"
81,막달라 마리아: 부활의 증인,2018-03-28,"315,063",0.00 ,"30,833",9.70%,"214,792,200","214,792,200","30,833"
81,팬텀 스레드,2018-03-08,"159,218",0.00 ,"28,872",18.10%,"236,507,700","236,840,700","28,909"
81,크리미널 스쿼드,2018-04-19,"601,873",0.00 ,"28,477",4.70%,"236,627,200","236,627,200","28,477"
81,라라랜드,2016-12-07,"113,225",0.00 ,"26,234",23.10%,"184,822,800","30,003,072,194","3,596,629"
81,하이큐!! 콘셉트의 싸움,2018-01-11,"251,093",0.00 ,"24,898",9.90%,"182,534,000","182,534,000","24,898"
81,펭이와 친구들의 남극대모험,2018-02-28,"184,740",0.00 ,"22,695",12.20%,"168,968,800","168,968,800","22,695"
81,마징가 Z: 인피니티,2018-05-17,"276,342",0.00 ,"22,407",8.10%,"183,107,900","183,107,900","22,407"
81,터닝메카드W: 반다인의 비밀 특별판,2018-02-08,"237,529",0.00 ,"21,947",9.20%,"164,797,700","164,797,700","21,947"
81,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,"182,980",0.00 ,"20,089",10.90%,"151,922,400","431,771,300","56,539"
81,꼬마영웅 바비,2018-05-30,"203,787",0.00 ,"18,509",9.00%,"138,398,000","138,398,000","18,509"
81,호비와 매직 아일랜드,2018-06-06,"123,493",0.00 ,"16,914",13.60%,"118,152,000","118,152,000","16,914"
81,주문은 토끼입니까?? ~디어 마이 시스터~,2018-01-18,"152,695",0.00 ,"16,655",10.90%,"121,079,000","129,053,000","17,541"
81,아기곰 보보 구출 대작전,2018-04-25,"132,830",0.00 ,"16,447",12.30%,"117,475,900","117,475,900","16,447"
81,아기돼지 3형제와 쿵푸랜드,2018-02-01,"113,120",0.00 ,"16,268",14.30%,"106,685,100","106,685,100","16,268"
81,스타워즈: 라스트 제다이,2017-12-14,"59,605",0.00 ,"13,031",21.80%,"130,807,900","8,666,693,961","959,578"
81,불한당: 나쁜 놈들의 세상,2017-05-17,"127,348",0.00 ,"12,262",9.60%,"67,326,500","7,674,017,125","953,985"
81,리틀 맨하탄,2018-06-27,"279,793",0.00 ,"11,909",4.20%,"96,947,500","96,947,500","11,909"
81,서치,2018-08-29,"10,549",0.00 ,"9,172",86.90%,"71,223,000","71,223,000","9,172"
81,극장판 뚝딱뚝딱 밥아저씨: 메가 머신의 역습,2018-04-19,"76,032",0.00 ,"7,803",10.20%,"55,820,500","55,820,500","7,803"
81,해적왕 작스톰,2018-07-25,"59,181",0.00 ,"5,791",9.70%,"45,155,800","45,155,800","5,791"
81,극장판 페어리 테일: 드래곤 크라이,2018-05-31,"115,568",0.00 ,"5,295",4.50%,"44,098,400","44,098,400","5,295"
81,돌아와요 부산항애(愛),2018-01-17,"98,653",0.00 ,"5,163",5.20%,"38,622,300","53,622,300","6,954"
81,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,2017-12-14,"25,419",0.00 ,"4,387",17.20%,"33,237,000","457,902,700","59,375"
81,덩케르크,2017-07-20,"17,683",0.00 ,"3,973",22.40%,"26,230,500","24,576,771,848","2,792,705"
81,내가 죽기 전에,2017-12-21,"4,711",0.00 ,"3,956",83.90%,"19,780,000","38,207,000","11,038"
81,미켈란젤로 : 사랑과 죽음,2018-05-31,"24,269",0.00 ,"3,411",14.00%,"33,952,000","33,952,000","3,411"
81,더 크리스마스,2017-12-21,"21,303",0.00 ,"3,378",15.80%,"24,570,500","486,356,000","65,460"
81,토르: 라그나로크,2017-10-25,"8,117",0.00 ,"3,374",41.50%,"20,741,200","39,251,492,595","4,857,458"
81,상류사회,2018-08-29,"3,328",0.00 ,"3,288",98.70%,"30,086,000","30,086,000","3,288"
81,카르멘,2018-07-01,"10,296",0.00 ,"3,259",31.60%,"78,836,500","78,836,500","3,259"
81,뮤즈 드론즈 월드투어 실황,2018-07-12,"10,852",0.00 ,"2,613",24.00%,"36,537,500","36,537,500","2,613"
81,히에로니무스 보쉬의 기이한 세계,2018-01-18,"30,027",0.00 ,"2,078",6.90%,"22,333,000","22,333,000","2,078"
81,토스카,2018-05-05,"13,102",0.00 ,"2,035",15.50%,"48,023,000","48,023,000","2,035"
81,아이다,2018-04-04,"9,628",0.00 ,"2,002",20.70%,"46,091,500","46,091,500","2,002"
81,파파 오랑후탄,2018-04-19,"9,225",0.00 ,"1,951",21.10%,"14,655,000","14,827,000","1,980"
81,사랑의 묘약,2018-07-07,"6,500",0.00 ,"1,895",29.10%,"42,864,000","42,864,000","1,895"
81,라라,2018-02-22,"25,906",0.00 ,"1,860",7.10%,"14,798,800","14,798,800","1,860"
81,식스 빌로우,2018-01-25,"16,919",0.00 ,"1,813",10.70%,"15,173,000","15,173,000","1,813"
81,라 트라비아타,2018-03-04,"6,870",0.00 ,"1,444",21.00%,"20,928,000","20,928,000","1,444"
81,호스틸,2018-08-23,"52,096",0.00 ,"1,362",2.60%,"9,939,900","9,939,900","1,362"
81,광인옥한흠,2017-12-28,"8,831",0.00 ,"1,348",15.20%,"10,471,700","22,537,200","2,985"
81,게이트-완결판,2018-06-21,"4,392",0.00 ,"1,339",30.40%,"1,348,000","1,486,000","1,408"
81,노르마,2018-03-03,"7,943",0.00 ,"1,336",16.80%,"29,449,000","29,449,000","1,336"
81,오리엔트 특급 살인,2017-11-29,"9,341",0.00 ,"1,190",12.70%,"9,180,000","6,645,385,163","864,757"
81,안나 카레니나,2018-06-29,"2,746",0.00 ,"1,116",40.60%,"19,632,800","19,632,800","1,116"
81,기억의 밤,2017-11-29,"12,425",0.00 ,988,7.90%,"5,692,000","10,653,271,160","1,387,779"
81,로미오와 줄리엣,2018-05-20,"8,778",0.00 ,988,11.20%,"22,906,500","22,906,500",988
81,예스 평창!,2018-03-08,"7,702",0.00 ,968,12.50%,"7,694,800","7,694,800",968
81,아이 캔 스피크,2017-09-21,"3,839",0.00 ,947,24.60%,"5,763,800","25,539,734,986","3,281,433"
81,죽음의 천사,2018-04-07,"5,870",0.00 ,709,12.00%,"15,209,500","15,209,500",709
81,동창회의 목적 3,2018-02-20,"2,737",0.00 ,431,15.70%,"2,290,000","2,290,000",431
81,투란도트,2018-08-26,"1,138",0.00 ,391,34.30%,"9,583,500","9,583,500",391
81,참외향기,2018-05-31,"4,563",0.00 ,384,8.40%,"2,895,200","2,895,200",384
81,꽃찌: 독이 있는 사랑,2018-08-23,"1,459",0.00 ,383,26.20%,"776,000","776,000",383
81,스노우맨,2017-12-14,"6,971",0.00 ,375,5.30%,"2,385,000","12,746,200","1,668"
81,택시운전사,2017-08-02,"3,560",0.00 ,357,10.00%,"2,091,500","95,868,830,649","12,189,195"
81,풍뎅이뎅이,2018-02-08,"4,311",0.00 ,308,7.10%,"2,001,000","2,527,000",361
81,꾼,2017-11-22,"2,268",0.00 ,306,13.40%,"1,539,000","31,313,568,795","4,018,341"
81,여동생 친구,2018-05-23,"2,599",0.00 ,297,11.40%,"1,451,000","1,451,000",297
81,메리와 마녀의 꽃,2017-12-07,"2,191",0.00 ,270,12.30%,"1,954,500","4,066,564,739","535,669"
81,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,284,0.00 ,263,92.60%,"2,284,000","1,067,442,500","127,244"
81,하이큐!! 재능과 센스,2017-11-15,"3,899",0.00 ,249,6.30%,"1,427,000","310,211,500","43,223"
81,내 여자의 정사: 감독판,2018-06-19,"2,609",0.00 ,244,9.30%,"1,183,000","1,183,000",244
81,맛있는 섹스 누나 친구-감독판,2018-04-17,"2,926",0.00 ,244,8.30%,"1,188,000","1,188,000",244
81,맛있는 스와핑,2018-08-14,"2,554",0.00 ,244,9.50%,"1,183,000","1,183,000",244
81,아내의 외도: 감독판,2018-04-17,"2,849",0.00 ,244,8.50%,"1,188,000","1,188,000",244
81,야한 짓: 감독판,2018-05-29,"2,752",0.00 ,244,8.80%,"1,187,000","1,187,000",244
81,음란 조선 기방,2018-07-04,"2,495",0.00 ,244,9.70%,"1,183,000","1,183,000",244
81,중독: 관음증-감독판,2018-05-29,"2,666",0.00 ,244,9.10%,"1,187,000","1,187,000",244
81,향단이 나르샤 감독판,2018-06-20,"2,609",0.00 ,244,9.30%,"1,183,000","1,183,000",244
81,내 엄마의 친구,2018-05-17,"3,220",0.00 ,239,7.40%,"1,292,000","1,292,000",239
81,착한 장모,2018-07-09,"3,271",0.00 ,239,7.30%,"1,292,000","1,292,000",239
81,나쁜 엄마,2018-04-26,"2,747",0.00 ,201,7.30%,"1,107,000","1,107,000",201
81,여동생 커플 훔쳐보기,2018-04-19,"2,918",0.00 ,188,6.40%,"1,065,000","1,065,000",188
81,수상한 노래방,2018-08-09,"2,689",0.00 ,187,6.90%,"1,026,000","1,026,000",187
81,섹스 인 더 게임,2018-03-28,"2,491",0.00 ,184,7.30%,"1,021,000","1,021,000",184
81,어린 누나,2018-03-07,"2,659",0.00 ,183,6.80%,"1,019,000","1,019,000",183
81,처녀 사냥,2018-01-31,"2,538",0.00 ,183,7.20%,"1,019,000","1,019,000",183
81,엄마 애인,2018-01-29,"2,538",0.00 ,182,7.10%,"1,012,000","1,012,000",182
81,딸의 애인,2018-05-04,"2,548",0.00 ,180,7.00%,"995,000","995,000",180
81,어린 이모,2018-05-09,"2,625",0.00 ,180,6.80%,"1,000,000","1,000,000",180
81,어린 처제,2018-05-04,"2,679",0.00 ,180,6.70%,"1,000,000","1,050,000",190
81,초대녀,2018-06-05,"2,863",0.00 ,180,6.20%,"996,000","996,000",180
81,형님 아내4(우주공주 춘향),2018-04-25,"2,710",0.00 ,180,6.60%,"995,000","995,000",180
81,화끈한 홈서비스,2018-04-24,"2,656",0.00 ,180,6.70%,"1,000,000","1,000,000",180
81,교회누나,2018-06-22,"2,668",0.00 ,179,6.70%,"993,000","993,000",179
81,어린 엄마,2018-01-10,"2,661",0.00 ,179,6.70%,"997,000","997,000",179
81,음란한 모델,2018-07-19,"2,604",0.00 ,179,6.80%,"991,000","991,000",179
81,첫경험,2018-01-10,"2,639",0.00 ,179,6.70%,"998,000","998,000",179
81,더티웨딩,2018-08-16,"2,877",0.00 ,178,6.10%,"991,000","991,000",178
81,어쌔신: 더 비기닝,2017-12-07,462,0.00 ,176,38.00%,"1,694,000","1,595,542,000","205,544"
81,발칙한 동거,2018-01-15,"2,592",0.00 ,173,6.60%,"963,000","963,000",173
81,쾌락 도우미 무삭제,2018-01-18,"2,668",0.00 ,173,6.40%,"964,000","964,000",173
81,쾌락의 밀실 무삭제,2018-03-29,"2,567",0.00 ,173,6.70%,"960,000","960,000",173
81,아들의 아내 무삭제,2018-01-11,"2,815",0.00 ,171,6.00%,"905,000","905,000",171
81,타짜의 목적 무삭제,2018-07-26,"2,566",0.00 ,163,6.30%,"912,000","912,000",163
81,거짓말 애인-감독판,2018-02-21,"3,091",0.00 ,161,5.20%,"785,000","785,000",161
81,콜보이,2018-08-29,160,0.00 ,160,100.00%,"960,000","960,000",160
81,아내와 제자들: 네토라레,2018-03-31,"2,327",0.00 ,155,6.60%,"850,000","850,000",155
81,동창생의 목적 - 감독판,2018-01-17,"3,802",0.00 ,153,4.00%,"825,000","825,000",153
81,불륜 정사의 맛-감독판,2018-02-14,"2,918",0.00 ,152,5.20%,"793,000","793,000",152
81,정사 : 질투의 덫 - 감독판,2018-02-07,"3,274",0.00 ,147,4.40%,"808,000","808,000",147
81,전망 좋은 섹스-감독판,2018-01-24,"3,025",0.00 ,146,4.80%,"800,000","800,000",146
81,친구엄마들,2018-07-05,"3,049",0.00 ,140,4.50%,"998,000","998,000",140
81,금지된 섹스,2018-07-31,"3,000",0.00 ,139,4.60%,"664,000","664,000",139
81,어린 여배우 무삭제판,2018-07-10,"2,827",0.00 ,139,4.90%,"658,000","658,000",139
81,선녀는 몸으로 운다-감독판,2018-07-12,"2,768",0.00 ,138,4.90%,"657,000","657,000",138
81,섹스-이웃집 여자-감독판,2018-07-31,"2,760",0.00 ,138,5.00%,"657,000","657,000",138
81,인공지능 섹스돌,2018-07-31,"3,108",0.00 ,138,4.40%,"657,000","657,000",138
81,젊은 누나-감독판,2018-07-26,"2,729",0.00 ,138,5.00%,"657,000","657,000",138
81,폰 섹스의 덫-감독판,2018-07-24,"2,728",0.00 ,138,5.00%,"657,000","657,000",138
81,공즉시색 2,2018-02-01,"3,256",0.00 ,135,4.10%,"807,000","807,000",135
81,탐정 당인: 차이나타운 살인사건,2018-03-08,"1,248",0.00 ,133,10.60%,"613,000","613,000",133
81,가래떡의 맛: 감독판,2018-03-20,"2,971",0.00 ,132,4.40%,"630,000","630,000",132
81,거짓말 2018: 감독판,2018-03-27,"2,907",0.00 ,131,4.50%,"629,000","629,000",131
81,불륜 동창회,2018-03-02,"2,894",0.00 ,130,4.40%,"772,000","772,000",130
81,엄마친구 4,2018-01-04,"3,208",0.00 ,130,4.00%,"774,000","774,000",130
81,친구누나2,2018-02-08,"3,273",0.00 ,130,3.90%,"773,000","773,000",130
81,내 친구 엄마,2018-03-15,"3,120",0.00 ,129,4.10%,"767,000","767,000",129
81,룸싸롱 여대생들,2018-03-29,"2,915",0.00 ,129,4.40%,"765,000","765,000",129
81,미용실 : 특별한 서비스 2,2018-02-13,"2,923",0.00 ,129,4.40%,"765,000","765,000",129
81,밀애 : 친구엄마,2018-02-27,"3,091",0.00 ,129,4.10%,"770,000","770,000",129
81,바람난 여자들2,2018-04-24,"2,923",0.00 ,129,4.40%,"765,000","765,000",129
81,비뇨기과 여의사들,2018-02-22,"3,047",0.00 ,129,4.20%,"770,000","770,000",129
81,사촌 누나,2018-03-08,"2,952",0.00 ,129,4.30%,"765,000","765,000",129
81,새오빠2,2018-04-05,"2,959",0.00 ,129,4.30%,"765,000","765,000",129
81,애인 : 아내의 남자,2018-06-21,"2,985",0.00 ,129,4.30%,"763,000","763,000",129
81,엄마의 연애,2018-05-29,"2,957",0.00 ,129,4.30%,"768,000","768,000",129
81,여자 하숙집2,2018-03-22,"2,915",0.00 ,129,4.40%,"765,000","765,000",129
81,정사 : 착한 며느리들,2018-01-25,"3,248",0.00 ,129,3.90%,"768,000","768,000",129
81,정사 : 친구의 엄마 2,2018-04-19,"2,886",0.00 ,129,4.40%,"765,000","765,000",129
81,정사 : 캠퍼스 커플,2018-06-22,"2,990",0.00 ,129,4.30%,"768,000","768,000",129
81,착한 엄마친구 2,2018-05-03,"2,972",0.00 ,129,4.30%,"760,000","760,000",129
81,밀애 : 부부카풀,2018-06-28,"3,014",0.00 ,128,4.20%,"758,000","758,000",128
81,아내의 애인 2,2018-06-14,"2,959",0.00 ,128,4.30%,"758,000","758,000",128
81,아내의 엄마,2018-05-10,"2,959",0.00 ,128,4.30%,"758,000","758,000",128
81,정사 : 아내의 친구,2018-05-17,"2,959",0.00 ,128,4.30%,"758,000","758,000",128
81,정사 : 어린 새엄마,2018-05-31,"3,014",0.00 ,128,4.20%,"758,000","758,000",128
81,착한 형수 3,2018-06-07,"3,003",0.00 ,128,4.20%,"758,000","758,000",128
81,하숙집 여자들,2018-06-26,"3,119",0.00 ,128,4.10%,"763,000","763,000",128
81,여자친구,2018-02-27,"2,972",0.00 ,123,4.10%,"720,000","720,000",123
81,이모의 유혹,2018-03-02,"2,971",0.00 ,123,4.10%,"718,000","718,000",123
81,젊은 장모,2018-02-02,"2,972",0.00 ,123,4.10%,"721,000","721,000",123
81,옆집누나들,2018-06-21,"2,972",0.00 ,122,4.10%,"713,000","713,000",122
81,가슴큰누나들,2018-06-12,"2,969",0.00 ,121,4.00%,"708,000","708,000",121
